NODE_55256_length_2003_cov_2.90349 	4
NODE_55156_length_2006_cov_4.26602 	1
NODE_55081_length_2008_cov_2.56733 	2
NODE_54982_length_2011_cov_3.51943 	1
NODE_54975_length_2011_cov_3.86452 	2
NODE_54920_length_2013_cov_15.5858 	3
NODE_54898_length_2013_cov_3.56895 	4
NODE_54841_length_2015_cov_2.36786 	1
NODE_54804_length_2016_cov_2.95003 	1
NODE_54817_length_2016_cov_14.4136 	3
NODE_54748_length_2017_cov_4.00815 	4
NODE_54453_length_2025_cov_5.05838 	4
NODE_54422_length_2026_cov_13.5769 	3
NODE_54338_length_2028_cov_12.7871 	3
NODE_54163_length_2032_cov_2.85938 	4
NODE_54142_length_2033_cov_8.07634 	2
NODE_54060_length_2035_cov_22.0293 	0
NODE_54018_length_2037_cov_3.58577 	2
NODE_54005_length_2037_cov_4.31483 	0
NODE_53909_length_2039_cov_1.99597 	4
NODE_53749_length_2044_cov_5.16189 	2
NODE_53746_length_2044_cov_14.1961 	3
NODE_53678_length_2046_cov_3.57308 	0
NODE_53551_length_2049_cov_5.01153 	4
NODE_53564_length_2049_cov_16.4228 	3
NODE_53529_length_2050_cov_8.67268 	1
NODE_53538_length_2050_cov_14.9539 	3
NODE_53460_length_2051_cov_2.9479 	1
NODE_53440_length_2052_cov_19.5343 	3
NODE_53242_length_2057_cov_2.48551 	0
NODE_53197_length_2058_cov_3.5996 	2
NODE_53026_length_2063_cov_3.3257 	3
NODE_52963_length_2065_cov_3.84378 	1
NODE_52941_length_2066_cov_5.93038 	1
NODE_52837_length_2069_cov_18.9434 	0
NODE_52646_length_2075_cov_3.12178 	0
NODE_52500_length_2079_cov_3.28409 	4
NODE_52429_length_2081_cov_3.42596 	2
NODE_52448_length_2081_cov_17.6876 	3
NODE_52325_length_2084_cov_2.8206 	1
NODE_52326_length_2084_cov_3.70379 	4
NODE_52233_length_2087_cov_3.2126 	0
NODE_52092_length_2091_cov_3.34578 	1
NODE_52081_length_2091_cov_12.6208 	3
NODE_52050_length_2092_cov_3.85911 	3
NODE_52016_length_2093_cov_2.82287 	1
NODE_51865_length_2097_cov_2.79383 	1
NODE_51841_length_2098_cov_4.11796 	4
NODE_51797_length_2099_cov_2.67466 	0
NODE_51791_length_2100_cov_17.3648 	3
NODE_51703_length_2102_cov_2.77088 	4
NODE_51604_length_2105_cov_3.56537 	4
NODE_51564_length_2106_cov_12.7562 	3
NODE_51569_length_2106_cov_2.68211 	1
NODE_51576_length_2106_cov_8.18284 	3
NODE_51454_length_2109_cov_16.2722 	3
NODE_51382_length_2112_cov_18.6753 	3
